Test,Prompt,GroundTruth,Scale,Density,Image,Color
Pilot,0,1,0.2,125,bat,uniform
Pilot,1,1,0.3,125,bat,uniform
Pilot,2,1,0.3,150,bat,uniform
Pilot,3,1,0.3,125,bat,uniform
Pilot,4,1,0.3,100,bat,single_var
Pilot,5,1,0.3,100,bat,uniform
Pilot,6,1,0.4,125,bat,uniform
Pilot,7,0,0.2,125,bat,uniform
Pilot,8,0,0.3,125,bat,uniform
Pilot,9,0,0.3,150,bat,uniform
Pilot,10,0,0.3,125,bat,uniform
Pilot,11,0,0.3,100,bat,single_var
Pilot,12,0,0.3,100,bat,uniform
Pilot,13,0,0.4,125,bat,uniform
2_1,1,1,0.2,80,turtle,uniform
2_1,2,1,0.2,100,turtle,uniform
2_1,3,1,0.2,125,turtle,uniform
2_1,4,1,0.2,150,turtle,uniform
2_1,5,1,0.3,80,turtle,uniform
2_1,6,1,0.3,100,turtle,uniform
2_1,7,1,0.3,125,turtle,uniform
2_1,8,1,0.3,150,turtle,uniform
2_1,9,1,0.4,80,turtle,uniform
2_1,10,1,0.4,100,turtle,uniform
2_1,11,1,0.4,125,turtle,uniform
2_1,12,1,0.4,150,turtle,uniform
2_1,13,0,0.2,80,turtle,uniform
2_1,14,0,0.2,100,turtle,uniform
2_1,15,0,0.2,125,turtle,uniform
2_1,16,0,0.2,150,turtle,uniform
2_1,17,0,0.3,80,turtle,uniform
2_1,18,0,0.3,100,turtle,uniform
2_1,19,0,0.3,125,turtle,uniform
2_1,20,0,0.3,150,turtle,uniform
2_1,21,0,0.4,80,turtle,uniform
2_1,22,0,0.4,100,turtle,uniform
2_1,23,0,0.4,125,turtle,uniform
2_1,24,0,0.4,150,turtle,uniform
2_2,1,1,0.2,150,bat,uniform
2_2,2,1,0.3,100,butterfly,uniform
2_2,3,1,0.3,150,butterfly,uniform
2_2,4,1,0.3,100,deer,uniform
2_2,5,1,0.3,150,deer,uniform
2_2,6,1,0.3,100,device3,uniform
2_2,7,1,0.3,150,device3,uniform
2_2,8,1,0.3,100,hammer,uniform
2_2,9,1,0.3,150,hammer,uniform
2_2,10,1,0.3,100,tree,uniform
2_2,11,1,0.3,150,tree,uniform
2_2,12,1,0.2,150,turtle,uniform
2_2,13,0,0.2,150,bat,uniform
2_2,14,0,0.3,100,butterfly,uniform
2_2,15,0,0.3,150,butterfly,uniform
2_2,16,0,0.3,100,deer,uniform
2_2,17,0,0.3,150,deer,uniform
2_2,18,0,0.3,100,device3,uniform
2_2,19,0,0.3,150,device3,uniform
2_2,20,0,0.3,100,hammer,uniform
2_2,21,0,0.3,150,hammer,uniform
2_2,22,0,0.3,100,tree,uniform
2_2,23,0,0.3,150,tree,uniform
2_2,24,0,0.2,150,turtle,uniform
2_3,1,1,0.2,80,bat,2_tone
2_3,2,1,0.2,80,bat,2_tone
2_3,3,1,0.2,80,bat,3_tone
2_3,4,1,0.2,80,bat,3_tone
2_3,5,1,0.2,80,bat,4_tone
2_3,6,1,0.2,80,bat,4_tone
2_3,7,1,0.3,80,bat,2_tone
2_3,8,1,0.3,80,bat,2_tone
2_3,9,1,0.3,80,bat,3_tone
2_3,10,1,0.3,80,bat,3_tone
2_3,11,1,0.3,80,bat,4_tone
2_3,12,1,0.3,80,bat,4_tone
2_3,13,0,0.2,80,bat,2_tone
2_3,14,0,0.2,80,bat,2_tone
2_3,15,0,0.2,80,bat,3_tone
2_3,16,0,0.2,80,bat,3_tone
2_3,17,0,0.2,80,bat,4_tone
2_3,18,0,0.2,80,bat,4_tone
2_3,19,0,0.3,80,bat,2_tone
2_3,20,0,0.3,80,bat,2_tone
2_3,21,0,0.3,80,bat,3_tone
2_3,22,0,0.3,80,bat,3_tone
2_3,23,0,0.3,80,bat,4_tone
2_3,24,0,0.3,80,bat,4_tone
3_1,1,1,0.2,80,turtle,uniform
3_1,2,1,0.2,100,turtle,uniform
3_1,3,1,0.2,125,turtle,uniform
3_1,4,1,0.2,150,turtle,uniform
3_1,5,1,0.3,80,turtle,uniform
3_1,6,1,0.3,100,turtle,uniform
3_1,7,1,0.3,125,turtle,uniform
3_1,8,1,0.3,150,turtle,uniform
3_1,9,1,0.4,80,turtle,uniform
3_1,10,1,0.4,100,turtle,uniform
3_1,11,1,0.4,125,turtle,uniform
3_1,12,1,0.4,150,turtle,uniform
3_1,13,0,0.2,80,turtle,uniform
3_1,14,0,0.2,100,turtle,uniform
3_1,15,0,0.2,125,turtle,uniform
3_1,16,0,0.2,150,turtle,uniform
3_1,17,0,0.3,80,turtle,uniform
3_1,18,0,0.3,100,turtle,uniform
3_1,19,0,0.3,125,turtle,uniform
3_1,20,0,0.3,150,turtle,uniform
3_1,21,0,0.4,80,turtle,uniform
3_1,22,0,0.4,100,turtle,uniform
3_1,23,0,0.4,125,turtle,uniform
3_1,24,0,0.4,150,turtle,uniform
3_2,1,1,0.2,150,bat,uniform
3_2,2,1,0.3,100,butterfly,uniform
3_2,3,1,0.3,150,butterfly,uniform
3_2,4,1,0.3,100,deer,uniform
3_2,5,1,0.3,150,deer,uniform
3_2,6,1,0.3,100,device3,uniform
3_2,7,1,0.3,150,device3,uniform
3_2,8,1,0.3,100,hammer,uniform
3_2,9,1,0.3,150,hammer,uniform
3_2,10,1,0.3,100,tree,uniform
3_2,11,1,0.3,150,tree,uniform
3_2,12,1,0.2,150,turtle,uniform
3_2,13,0,0.2,150,bat,uniform
3_2,14,0,0.3,100,butterfly,uniform
3_2,15,0,0.3,150,butterfly,uniform
3_2,16,0,0.3,100,deer,uniform
3_2,17,0,0.3,150,deer,uniform
3_2,18,0,0.3,100,device3,uniform
3_2,19,0,0.3,150,device3,uniform
3_2,20,0,0.3,100,hammer,uniform
3_2,21,0,0.3,150,hammer,uniform
3_2,22,0,0.3,100,tree,uniform
3_2,23,0,0.3,150,tree,uniform
3_2,24,0,0.2,150,turtle,uniform
3_3,1,1,0.2,80,bat,2_tone
3_3,2,1,0.2,80,bat,2_tone
3_3,3,1,0.2,80,bat,3_tone
3_3,4,1,0.2,80,bat,3_tone
3_3,5,1,0.2,80,bat,4_tone
3_3,6,1,0.2,80,bat,4_tone
3_3,7,1,0.3,80,bat,2_tone
3_3,8,1,0.3,80,bat,2_tone
3_3,9,1,0.3,80,bat,3_tone
3_3,10,1,0.3,80,bat,3_tone
3_3,11,1,0.3,80,bat,4_tone
3_3,12,1,0.3,80,bat,4_tone
3_3,13,0,0.2,80,bat,2_tone
3_3,14,0,0.2,80,bat,2_tone
3_3,15,0,0.2,80,bat,3_tone
3_3,16,0,0.2,80,bat,3_tone
3_3,17,0,0.2,80,bat,4_tone
3_3,18,0,0.2,80,bat,4_tone
3_3,19,0,0.3,80,bat,2_tone
3_3,20,0,0.3,80,bat,2_tone
3_3,21,0,0.3,80,bat,3_tone
3_3,22,0,0.3,80,bat,3_tone
3_3,23,0,0.3,80,bat,4_tone
3_3,24,0,0.3,80,bat,4_tone
4_1_1,1,0,0.25,100,bat,realistic
4_1_1,2,0,0.38,100,bat,realistic
4_1_1,3,0,0.4,120,bat,realistic
4_1_1,4,0,0.53,120,bat,realistic
4_1_1,5,0,0.55,140,bat,realistic
4_1_1,6,0,0.68,140,bat,realistic
4_1_1,7,0,0.7,160,bat,realistic
4_1_1,8,0,0.81,160,bat,realistic
4_1_1,9,1,0.25,100,bat,realistic
4_1_1,10,1,0.38,100,bat,realistic
4_1_1,11,1,0.4,120,bat,realistic
4_1_1,12,1,0.53,120,bat,realistic
4_1_1,13,1,0.55,140,bat,realistic
4_1_1,14,1,0.68,140,bat,realistic
4_1_1,15,1,0.7,160,bat,realistic
4_1_1,16,1,0.81,160,bat,realistic
4_1_2,1,0,0.25,100,butterfly,realistic
4_1_2,2,0,0.38,100,butterfly,realistic
4_1_2,3,0,0.4,120,butterfly,realistic
4_1_2,4,0,0.53,120,butterfly,realistic
4_1_2,5,0,0.55,140,butterfly,realistic
4_1_2,6,0,0.68,140,butterfly,realistic
4_1_2,7,0,0.7,160,butterfly,realistic
4_1_2,8,0,0.81,160,butterfly,realistic
4_1_2,9,1,0.25,100,butterfly,realistic
4_1_2,10,1,0.38,100,butterfly,realistic
4_1_2,11,1,0.4,120,butterfly,realistic
4_1_2,12,1,0.53,120,butterfly,realistic
4_1_2,13,1,0.55,140,butterfly,realistic
4_1_2,14,1,0.68,140,butterfly,realistic
4_1_2,15,1,0.7,160,butterfly,realistic
4_1_2,16,1,0.81,160,butterfly,realistic
4_1_3,1,0,0.25,100,apple,realistic
4_1_3,2,0,0.38,100,apple,realistic
4_1_3,3,0,0.4,120,apple,realistic
4_1_3,4,0,0.53,120,apple,realistic
4_1_3,5,0,0.55,140,apple,realistic
4_1_3,6,0,0.68,140,apple,realistic
4_1_3,7,0,0.7,160,apple,realistic
4_1_3,8,0,0.81,160,apple,realistic
4_1_3,9,1,0.25,100,apple,realistic
4_1_3,10,1,0.38,100,apple,realistic
4_1_3,11,1,0.4,120,apple,realistic
4_1_3,12,1,0.53,120,apple,realistic
4_1_3,13,1,0.55,140,apple,realistic
4_1_3,14,1,0.68,140,apple,realistic
4_1_3,15,1,0.7,160,apple,realistic
4_1_3,16,1,0.81,160,apple,realistic
4_1_4,1,0,0.25,100,stingray,realistic
4_1_4,2,0,0.38,100,stingray,realistic
4_1_4,3,0,0.4,120,stingray,realistic
4_1_4,4,0,0.53,120,stingray,realistic
4_1_4,5,0,0.55,140,stingray,realistic
4_1_4,6,0,0.68,140,stingray,realistic
4_1_4,7,0,0.7,160,stingray,realistic
4_1_4,8,0,0.81,160,stingray,realistic
4_1_4,9,1,0.25,100,stingray,realistic
4_1_4,10,1,0.38,100,stingray,realistic
4_1_4,11,1,0.4,120,stingray,realistic
4_1_4,12,1,0.53,120,stingray,realistic
4_1_4,13,1,0.55,140,stingray,realistic
4_1_4,14,1,0.68,140,stingray,realistic
4_1_4,15,1,0.7,160,stingray,realistic
4_1_4,16,1,0.81,160,stingray,realistic
